"idx","tic","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","MarketCap1","X1","X2","X3","X4","X5","X6","score","tic.y"
1056,"nly","Annaly Capital Management Inc",10.78,"$10.73B",2000,"Consumer Services","Real Estate Investment Trusts","NYSE",10730,-0.02,0,0,0.93,0.72,0.86,-2.15870441056735,"nly"
538,"etn","Eaton Corporation, PLC",67.32,"$30.61B",2000,"Technology","Industrial Machinery/Components","NYSE",30610,0,0,0,0.64,0.64,0.71,-2.15884220537382,"etn"
130,"au","AngloGold Ashanti Limited",17.73,"$7.14B",2000,"Basic Industries","Precious Metals","NYSE",7140,0,-0.02,-0.02,1.26,1.09,1.08,-2.16101006614237,"au"
534,"ess","Essex Property Trust, Inc.",222.02,"$14.54B",1994,"Consumer Services","Real Estate Investment Trusts","NYSE",14540,-0.02,0,0,0.97,0.74,0.83,-2.16347349839309,"ess"
566,"fcx","Freeport-McMoran, Inc.",10.89,"$14.46B",2000,"Basic Industries","Precious Metals","NYSE",14460,-0.02,-0.03,0,1.19,1.15,0.99,-2.16955021633885,"fcx"
701,"hfc","HollyFrontier Corporation",25.69,"$4.53B",2000,"Energy","Integrated oil Companies","NYSE",4530,0,-0.02,0,0.85,0.81,0.86,-2.17857114689036,"hfc"
229,"bvn","Buenaventura Mining Company Inc.",13.44,"$3.42B",1996,"Basic Industries","Precious Metals","NYSE",3420,0,-0.06,0,1.05,1.24,1.19,-2.18174099998096,"bvn"
1312,"sbra","Sabra Healthcare REIT, Inc.",24.84,"$1.62B",2000,"Consumer Services","Real Estate Investment Trusts","NASDAQ",1620,-0.02,0.02,0,0.75,0.65,0.62,-2.18471001462074,"sbra"
438,"dis","Walt Disney Company (The)",95.21,"$153.01B",2000,"Consumer Services","Television Services","NYSE",153010,0,0,0,0.71,0.65,0.67,-2.18850874748916,"dis"
1272,"rlgy","Realogy Holdings Corp.",26.96,"$3.91B",2012,"Finance","Real Estate","NYSE",3910,-0.01,0.01,0,0.64,0.7,0.64,-2.20950840777952,"rlgy"
